titulo,descripcion,fecha_publicacion,etiquetas,categoria_id,thumbnails,idioma,vistas,likes,dislikes,comentarios,favoritos,duracion,dimension,definicion,caption,proyeccion,estado_upload,estado_privacidad,licencia,embeddable,publicStatsViewable,madeForKids
Rubius REWIND: La Historia Completa,"Like si viviste alguna de estas etapas conmigo

UST

Gracias a adrilik, Claudio Serrano, Different Heaven, Jordi Longan, ZEROSMUSIC y a todos vosotros por estar ahi

Cancion epica del final: https://youtu.be/7Yz99RYc1H4

Mi Tienda: https://madkatstore.com/
Twitch: https://twitch.tv/Rubius
Server Discord: https://discord.gg/rubius

Twittah: https://twitter.com/Rubiu5
FB: https://www.facebook.com/pages/ElrubiusOMG/337992166223323",2023-01-08T20:07:51Z,"['elrubius', 'elrubiusomg', 'rubius', 'español', 'risa', 'risas', 'humor', 'comedia', 'entretenimiento', 'gracioso', 'juego', 'videojuegos', 'games', 'gaming', 'rewind', 'documental', 'historia completa', 'rubius rewind', '2022', 'nuevo', 'vida', 'historia', 'leyenda del gaming', 'nostalgia', 'cancion', 'minecraft', 'among us', 'mangel', 'amigos', 'epic', 'epico', 'vlog', 'mexico']",24,"['default', 'medium', 'high', 'standard', 'maxres']",es,5333815,753505,0,35315,0,PT28M14S,2d,hd,false,rectangular,processed,public,youtube,True,True,False
Pokemon Escarlata/Purpura en 1 minuto,"Like y te mando un Lechonk a tu casa
#ad 
Mi Tienda: https://madkatstore.com/
Twitch: https://twitch.tv/Rubius
Server Discord: https://discord.gg/rubius

Twittah: https://twitter.com/Rubiu5
FB: https://www.facebook.com/pages/ElrubiusOMG/337992166223323",2022-12-17T19:08:03Z,"['elrubius', 'elrubiusomg', 'rubius', 'español', 'risa', 'risas', 'humor', 'comedia', 'entretenimiento', 'gracioso', 'juego', 'videojuegos', 'games', 'gaming', 'pokemon', 'pokemon en 1 minuto', '1 minuto', 'meme', 'memes', 'escarlata', 'purpura', 'scarlet', 'resumen', 'analisis', 'nintendo', 'switch', 'españa', 'espana']",24,"['default', 'medium', 'high', 'standard', 'maxres']",es,3430294,373962,0,6640,0,PT3M30S,2d,hd,false,rectangular,processed,public,youtube,True,True,False
Le Cambie mi Coche por Objetos de un Videojuego,"Like si deberia tunear mas coches

(y si soy mejor amigo que Mr Beast)
Mi Tienda: https://madkatstore.com/
Twitch: https://twitch.tv/Rubius
Server Discord: https://discord.gg/rubius

Twittah: https://twitter.com/Rubiu5
FB: https://www.facebook.com/pages/ElrubiusOMG/337992166223323",2022-11-17T20:01:36Z,"['elrubius', 'elrubiusomg', 'rubius', 'español', 'risa', 'risas', 'humor', 'comedia', 'entretenimiento', 'gracioso', 'juego', 'videojuegos', 'coche', 'cambio', 'regalando', 'vlog', 'pintando coche', 'lolito', 'musica', 'tuneo', 'tuning', 'coche rosa', 'rosa', 'mr beast', 'amigos', 'minecraft', 'meme', 'memes']",24,"['default', 'medium', 'high', 'standard', 'maxres']",es,5706653,607462,0,13450,0,PT15M43S,2d,hd,false,rectangular,processed,public,youtube,True,True,False
El momento mas incómodo de mi vida,"Like por el trauma
Animación by Matix Oviedo: https://www.youtube.com/c/MatixOviedo

Mi Tienda: https://madkatstore.com/
Twitch: https://twitch.tv/Rubius
Server Discord: https://discord.gg/rubius

Twittah: https://twitter.com/Rubiu5
FB: https://www.facebook.com/pages/ElrubiusOMG/337992166223323",2022-09-07T20:01:15Z,"['elrubius', 'elrubiusomg', 'rubius', 'español', 'risa', 'risas', 'humor', 'comedia', 'entretenimiento', 'gracioso', 'juego', 'videojuegos', 'games', 'gaming', 'animacion', 'historia', 'draw my life', 'momento incomodo', 'pedido', 'casa', 'comida']",20,"['default', 'medium', 'high', 'standard', 'maxres']",es,3815226,544075,0,9126,0,PT4M24S,2d,hd,false,rectangular,processed,public,youtube,True,True,False
EL RETO DE TOM HOLLAND,"Like por el bueno de Tom y el Barco Rata :)

Link al trailer: https://youtu.be/62bKO3LP6HA #ad

Mi Tienda: https://rubiuscorp.com/
Twitch: https://twitch.tv/Rubius
Server Discord: https://discord.gg/rubius

Twittah: https://twitter.com/Rubiu5
FB: https://www.facebook.com/pages/ElrubiusOMG/337992166223323",2022-02-10T20:39:05Z,"['elrubius', 'elrubiusomg', 'rubius', 'español', 'risa', 'risas', 'humor', 'comedia', 'entretenimiento', 'gracioso', 'juego', 'videojuegos', 'games', 'gaming', 'tom holland', 'uncharted', 'reto', 'sony', 'spiderman', '2022', 'tom', 'challenge', 'barco', 'helicoptero', 'viaje', 'vlog', 'nuevo']",24,"['default', 'medium', 'high', 'standard', 'maxres']",es,6141277,881846,0,34091,0,PT14M16S,2d,hd,false,rectangular,processed,public,youtube,True,True,False
CREANDO LA HAMBURGUESA DEFINITIVA | Epic Vlog,"Like por los pobres Mochis
Ya mismo podeis pedir usando Glovo o Just Eat en España!!! LATAM SOON?

Mi Tienda: https://rubiuscorp.com/
Twitch: https://twitch.tv/Rubius
Server Discord: https://discord.gg/rubius

Twittah: https://twitter.com/Rubiu5
FB: https://www.facebook.com/pages/ElrubiusOMG/337992166223323",2022-01-27T18:33:59Z,"['elrubius', 'elrubiusomg', 'rubius', 'español', 'risa', 'risas', 'humor', 'comedia', 'entretenimiento', 'gracioso', 'juego', 'videojuegos', 'games', 'gaming', 'vlog', 'epic vlog', 'hamburguesa', 'burger', 'japonesa', 'japon', 'dani garcia', 'willyrex', 'vegetta777', 'nuevo', '2022', 'mejor', 'comida', 'cocina', 'cocinando', 'amigos', 'challenge', 'picante']",24,"['default', 'medium', 'high', 'standard', 'maxres']",es,7491516,851031,0,22685,0,PT14M50S,2d,hd,false,rectangular,processed,public,youtube,True,True,False
Mr. Increible reacciona a la carrera de elrubiusOMG,"Like para sobrevivir a Mr Increible

Mi Tienda: https://rubiuscorp.com/
Twitch: https://twitch.tv/Rubius
Server Discord: https://discord.gg/rubius

Twittah: https://twitter.com/Rubiu5
FB: https://www.facebook.com/pages/ElrubiusOMG/337992166223323",2022-01-22T22:06:03Z,"['elrubius', 'elrubiusomg', 'rubius', 'español', 'risa', 'risas', 'humor', 'comedia', 'entretenimiento', 'gracioso', 'juego', 'videojuegos', 'games', 'gaming', 'mr increible', 'increibles', 'meme', 'memes', 'canal', 'carrera', 'reacciona', 'reaccionando', 'tiktok']",23,"['default', 'medium', 'high', 'standard']",es,3292105,448064,0,8734,0,PT2M12S,2d,hd,false,rectangular,processed,public,youtube,True,True,False
SI ME HACES REIR TE DOY 1000€ #3,"Like y salvaras a 1 niño de ser golpeado con una pelota

Mi Tienda: https://rubiuscorp.com/
Twitch: https://twitch.tv/Rubius
Server Discord: https://discord.gg/rubius

Twittah: https://twitter.com/Rubiu5
FB: https://www.facebook.com/pages/ElrubiusOMG/337992166223323",2021-12-16T19:01:22Z,"['elrubius', 'elrubiusomg', 'rubius', 'español', 'risa', 'risas', 'humor', 'comedia', 'entretenimiento', 'gracioso', 'juego', 'videojuegos', 'games', 'gaming', 'si te ries pierdes', 'si me rio doy 1000', 'challenge', 'reto', 'euros', 'SI ME HACES REIR TE DOY 1000€', 'te pago', 'pago', 'chat', 'orslok', 'messi', 'meme', 'memes', 'compilacion', 'mejor', 'mejores', 'ries', 'dross']",24,"['default', 'medium', 'high', 'standard', 'maxres']",es,13787614,826188,0,8269,0,PT12M39S,2d,hd,false,rectangular,processed,public,youtube,True,True,False
Minero - Versión Orquestal (Especial 10 Años),"Like si quieres ser Minero

Mil gracias a todos por aguantarme durante tanto tiempo :)

A parte del especial, el año que viene estrenaré un documental en Prime Video sobre estos 10 ultimos años! Pronto os contare mas.

Minero

El Rubius parody of Chayane’s song “Torero”

For voice and orchestra

Words by El Rubius

Arranged and orchestrated by Ferran Cruixent

Interpreted by Jove Orquestra Simfònica de Barcelona

Musical Director Carlos Checa


Special thanks to the Palau de la Música Catalana

Mi Tienda: https://rubiuscorp.com/
Twitch: https://twitch.tv/Rubius
Server Discord: https://discord.gg/rubius

Twittah: https://twitter.com/Rubiu5
FB: https://www.facebook.com/pages/ElrubiusOMG/337992166223323",2021-12-02T20:01:55Z,"['elrubius', 'elrubiusomg', 'rubius', 'español', 'risa', 'risas', 'humor', 'comedia', 'entretenimiento', 'gracioso', 'juego', 'videojuegos', 'games', 'gaming', 'especial', '10 años', 'rubiusx', 'minero', 'cancion minero', 'minecraft', 'torero', 'parodia', 'sinfonica', 'orquesta', 'aniversario', 'musica', 'cancion', 'epico', 'mejor', 'violin']",24,"['default', 'medium', 'high', 'standard', 'maxres']",es,19573456,2354156,0,137106,0,PT5M41S,2d,hd,false,rectangular,processed,public,youtube,True,True,False
Junté a 115 Streamers en el Juego del Calamar,"Like si quieres que te chupe la galleta

Tienda de Batman x MadKat: https://rubiuscorp.com/
Twitch: https://twitch.tv/Rubius
Server Discord: https://discord.gg/rubius

Twittah: https://twitter.com/Rubiu5
FB: https://www.facebook.com/pages/ElrubiusOMG/337992166223323",2021-10-14T19:15:25Z,"['elrubius', 'elrubiusomg', 'rubius', 'español', 'risa', 'risas', 'humor', 'comedia', 'entretenimiento', 'gracioso', 'juego', 'videojuegos', 'games', 'gaming', 'squid game', 'juego del calamar', 'el juego del calamar', 'calamar', 'pulpo', 'roblox', 'torneo', 'streamer', 'streamers', 'ibai', 'auron', 'juansguarnizo', 'quackity']",20,"['default', 'medium', 'high', 'standard', 'maxres']",es,5978911,569233,0,11374,0,PT12M19S,2d,hd,false,rectangular,processed,public,youtube,True,True,False
QUIEN SOBREVIVE CHALLENGE feat. Giancarlo Esposito,"Like por la aparición de Giancarlo!
Documental de FC6: https://youtu.be/r8N-FAu-c0k

Mi Tienda: https://rubiuscorp.com/
Twitch: https://twitch.tv/Rubius
Server Discord: https://discord.gg/rubius

Twittah: https://twitter.com/Rubiu5
FB: https://www.facebook.com/pages/ElrubiusOMG/337992166223323",2021-10-07T18:32:47Z,"['elrubius', 'elrubiusomg', 'rubius', 'español', 'risa', 'risas', 'humor', 'comedia', 'entretenimiento', 'gracioso', 'juego', 'videojuegos', 'games', 'far cry 6', 'giancarlo', 'auronplay', 'auron', 'willyrex', 'mangel', 'youtuber', 'youtubers', 'giancarlo esposito', 'breaking bad', 'gustavo fring', 'perxita', 'biyin', 'alexby', 'luzu', 'entrevista', 'interview']",24,"['default', 'medium', 'high', 'standard', 'maxres']",es,2926978,437195,0,9773,0,PT8M23S,2d,hd,false,rectangular,processed,public,youtube,True,True,False
MIS PRIMEROS VIDEOS DE YOUTUBE (nunca vistos),"Like por Rubius prepuber

Mi Tienda: https://rubiuscorp.com/
Twitch: https://twitch.tv/Rubius
Server Discord: https://discord.gg/rubius

Twittah: https://twitter.com/Rubiu5
FB: https://www.facebook.com/pages/ElrubiusOMG/337992166223323",2021-09-26T19:07:16Z,"['elrubius', 'elrubiusomg', 'rubius', 'español', 'risa', 'risas', 'humor', 'comedia', 'entretenimiento', 'gracioso', 'juego', 'videojuegos', 'games', 'gaming', 'videos ocultos', 'oculto', 'ocultos', 'videos', 'privados', 'nunca vistos', '2006', 'antiguos', 'japon', 'nuevo', '2021']",24,"['default', 'medium', 'high', 'standard', 'maxres']",es,6684482,1074091,0,26460,0,PT11M9S,2d,hd,false,rectangular,processed,public,youtube,True,True,False
RUBIUS PUNTUA VUESTROS SETUPS,"Like por el papel higienico

Mi Tienda: https://rubiuscorp.com/
Twitch: https://twitch.tv/Rubius
Server Discord: https://discord.gg/rubius

Twittah: https://twitter.com/Rubiu5
FB: https://www.facebook.com/pages/ElrubiusOMG/337992166223323",2021-01-01T20:49:45Z,"['elrubius', 'elrubiusomg', 'rubius', 'español', 'risa', 'risas', 'humor', 'comedia', 'entretenimiento', 'gracioso', 'setups', 'setup', 'habitacion', 'gamer', 'puntuando', 'calificando', 'cr7', 'mejor', 'divertido', '2020', '2021', 'nuevo', 'gatos', 'habitaciones', 'pc', 'silla', 'mesa', 'battlestation', 'meme', 'memes']",24,"['default', 'medium', 'high', 'standard', 'maxres']",es,16626470,969626,0,27771,0,PT14M30S,2d,hd,false,rectangular,processed,public,youtube,True,True,False
ESTA CARTA DE POKEMON VALE $295.000,"Like para que mi madre encuentre mis cartas de Pokemon
MIERCOLES UNBOXING EN MI CANAL DE TWITCH: https://twitch.tv/Rubius

Instagram del admin de los Pokemon David: @Darizard9

Mi Tienda: https://rubiuscorp.com/
Server Discord: https://discord.gg/rubius

Twittah: https://twitter.com/Rubiu5
FB: https://www.facebook.com/pages/ElrubiusOMG/337992166223323",2020-12-20T19:08:13Z,"['elrubius', 'elrubiusomg', 'rubius', 'español', 'risa', 'risas', 'humor', 'comedia', 'entretenimiento', 'gracioso', 'pokemon', 'cartas pokemon', 'charizard', 'justin bieber', 'gary', 'logan paul', 'pikachu', 'tcg', 'cartas', 'carta', 'cuesta', 'vale', '2950000', 'euros', 'dolares', 'mas cara', 'caja', 'unboxing', 'vlog', 'meme', 'memes']",24,"['default', 'medium', 'high', 'standard', 'maxres']",es,7817610,884983,0,29235,0,PT7M37S,2d,hd,false,rectangular,processed,public,youtube,True,True,False
SI ME HACES REIR TE DOY 1000€ #2,"Like por Melo

Mi Tienda: https://rubiuscorp.com/
Twitch: https://twitch.tv/Rubius
Server Discord: https://discord.gg/rubius

Twittah: https://twitter.com/Rubiu5
FB: https://www.facebook.com/pages/ElrubiusOMG/337992166223323",2020-12-13T21:01:39Z,"['elrubius', 'elrubiusomg', 'rubius', 'español', 'risa', 'risas', 'humor', 'comedia', 'entretenimiento', 'gracioso', 'subs mandan videos', 'video', 'videos', 'graciosos', 'si te ries pierdes', 'si me rio pierdo', '1000', 'si me haces reir', 'ylyl', 'memes', '2020', 'nuevo', 'meme', 'mandan videos', 'te pago', 'parte 2', '#2', 'pierde', '2021', 'melo', 'willyrex', 'auronplay']",24,"['default', 'medium', 'high', 'standard', 'maxres']",es,21441616,1294370,0,25997,0,PT13M44S,2d,hd,false,rectangular,processed,public,youtube,True,True,False
LA MUERTE TIENE UN PRECIO CHALLENGE,"Like si hoy no se come familia

biba er Demon's Souls

Mi Tienda: https://rubiuscorp.com/
Twitch: https://twitch.tv/Rubius
Server Discord: https://discord.gg/rubius

Twittah: https://twitter.com/Rubiu5
FB: https://www.facebook.com/pages/ElrubiusOMG/337992166223323",2020-12-05T20:35:16Z,"['elrubius', 'elrubiusomg', 'rubius', 'español', 'risa', 'risas', 'humor', 'comedia', 'entretenimiento', 'gracioso', 'juego', 'videojuegos', 'gaming', 'demons souls', 'demon souls', 'remake', 'ps5', 'playstation 5', 'nuevo', '2020', 'random', 'montaje', 'mejor', 'mejores momentos', 'euros', 'apuesta']",24,"['default', 'medium', 'high', 'standard', 'maxres']",es,4256487,493564,0,16096,0,PT12M48S,2d,hd,false,rectangular,processed,public,youtube,True,True,False
ASÍ SE HIZO EL ANUNCIO DE PS5 | Epic Vlog,"Like para que Willy abra los ojos
#ad
Video del anuncio final: https://youtu.be/PXlqAZeamOg

Mi Tienda: https://rubiuscorp.com/
Twitch: https://twitch.tv/Rubius
Server Discord: https://discord.gg/rubius

Twittah: https://twitter.com/Rubiu5
FB: https://www.facebook.com/pages/ElrubiusOMG/337992166223323",2020-11-20T20:05:29Z,"['elrubius', 'elrubiusomg', 'rubius', 'español', 'risa', 'gracioso', 'vlog', 'epic vlog', 'ps5', 'playstation', 'playstation 5', 'ibai', 'willyrex', 'mangel', 'nuevo', '2020', 'anuncio', 'making of', 'comercial', 'mejor', 'meme', 'memes']",24,"['default', 'medium', 'high', 'standard', 'maxres']",es,4899088,650919,0,16839,0,PT9M7S,2d,hd,false,rectangular,processed,public,youtube,True,True,False
Algo de lo que nunca he hablado,"Like si DISFRUTASTE este video
Gracias por los 39 millones, os jamo
Mi Tienda: https://rubiuscorp.com/
Twitch: https://twitch.tv/Rubius
Server Discord: https://discord.gg/rubius

Twittah: https://twitter.com/Rubiu5
FB: https://www.facebook.com/pages/ElrubiusOMG/337992166223323",2020-11-07T19:10:19Z,"['elrubius', 'elrubiusomg', 'rubius', 'español', 'risa', 'risas', 'humor', 'comedia', 'entretenimiento', 'comunidad', 'hablar', 'hablando', 'tema', 'fans', 'pokemon', 'kpop', 'yugioh', 'among us', 'fama', 'conversacion', 'entrevista']",24,"['default', 'medium', 'high', 'standard', 'maxres']",es,7882134,1441603,0,121020,0,PT11M18S,2d,hd,false,rectangular,processed,public,youtube,True,True,False
SI ME HACES REIR TE DOY 1000€,"Like y a la siguiente subo la apuesta

Mi Tienda: https://rubiuscorp.com/
Twitch: https://twitch.tv/Rubius
Server Discord: https://discord.gg/rubius

Twittah: https://twitter.com/Rubiu5
FB: https://www.facebook.com/pages/ElrubiusOMG/337992166223323",2020-10-11T18:15:24Z,"['elrubius', 'elrubiusomg', 'rubius', 'español', 'risa', 'risas', 'humor', 'comedia', 'entretenimiento', 'gracioso', 'subs mandan videos', 'video', 'videos', 'graciosos', 'si te ries pierdes', 'si me rio pierdo', '1000', 'si me haces reir', 'ylyl', 'memes', '2020', 'nuevo', 'meme', 'mandan videos', 'el pepe', 'ete sech', 'sech']",24,"['default', 'medium', 'high', 'standard', 'maxres']",es,39014337,1872844,0,40287,0,PT12M26S,2d,hd,false,rectangular,processed,public,youtube,True,True,False
SOY UN PERSONAJE JUGABLE!! - Watch Dogs: Legion,"Like por el profesor que dijo que nunca llegaria a nada
Para ganar la figura de Rubius Watch Dogs Legion + 1 Ed. Coleccionista del juego firmada a mano por mi y hasta 10 juegos adicionales entra aqui https://gleam.io/zxrEf/sorteo-figura
#ad 
Ver Making Of Rubius en Watch Dogs Legion: https://youtu.be/tJMt2Ejb9Kc

Mi Tienda: https://rubiuscorp.com/
Twitch: https://twitch.tv/Rubius
Server Discord: https://discord.gg/rubius

Twittah: https://twitter.com/Rubiu5
FB: https://www.facebook.com/pages/ElrubiusOMG/337992166223323",2020-09-10T19:30:18Z,"['elrubius', 'elrubiusomg', 'rubius', 'español', 'risa', 'risas', 'humor', 'comedia', 'entretenimiento', 'gracioso', 'juego', 'videojuegos', 'games', 'gaming', 'watch dogs', 'watch dogs legion', 'personaje', 'jugable', 'hacker', 'videojuego', '2020', 'nuevo', '2021', 'reaccionando', 'reacciona']",24,"['default', 'medium', 'high', 'standard', 'maxres']",es,8847612,1062930,0,33878,0,PT9M2S,2d,hd,false,rectangular,processed,public,youtube,True,True,False
LOS FANS DEL K-POP ME ODIAN POR ESTO,"Like por Chayanne. Es nuestro padre.

Mi Tienda: https://rubiuscorp.com/
Twitch: https://twitch.tv/Rubius
Server Discord: https://discord.gg/rubius

Twittah: https://twitter.com/Rubiu5
FB: https://www.facebook.com/pages/ElrubiusOMG/337992166223323",2020-08-30T19:49:26Z,"['elrubius', 'elrubiusomg', 'rubius', 'español', 'risa', 'risas', 'humor', 'comedia', 'entretenimiento', 'gracioso', 'kpop', 'bts', 'bangtan', 'koreano', 'coreano', 'korean', 'k pop', 'baile', 'videos', '2020', 'nuevo', 'twitter', 'fans', 'fan', 'limonada', 'pato', 'patos', 'yoongi']",24,"['default', 'medium', 'high', 'standard', 'maxres']",es,9118942,1558988,0,117932,0,PT7M4S,2d,hd,false,rectangular,processed,public,youtube,True,True,False
